"";"FECHA";"CLIENTE";"IMPORTE"
"2907";2013-08-01;2242768012;"40,00"
"3587";2013-08-01;1199047016;"38,22"
"4956";2013-08-01;3413689013;"50,59"
"9554";2013-08-01;9572510041;"72,84"
"10756";2013-08-01;1117745014;"40,00"
"15724";2013-08-01;2185261017;"64,00"
"17366";2013-08-01;7065407012;"20,00"
"18631";2013-08-01;44081014;"41,36"
"19761";2013-08-01;2323813018;"96,01"
"21579";2013-08-01;3658293034;"30,00"
"22940";2013-08-01;1737873016;"40,01"
"26598";2013-08-01;1069620068;"50,00"
"27480";2013-08-01;7192411010;"11,17"
"28302";2013-08-01;76223013;"73,36"
"28851";2013-08-01;3769152020;"50,00"
"30575";2013-08-01;10895017;"40,00"
"35038";2013-08-01;3690829019;"50,00"
"41565";2013-08-01;1255418028;"44,00"
"1514";2013-08-02;7169515017;"71,10"
"2721";2013-08-02;3713271017;"50,00"
"4106";2013-08-02;60809025;"29,60"
"4610";2013-08-02;2282572019;"50,00"
"4742";2013-08-02;1288334012;"75,32"
"5701";2013-08-02;1396652016;"56,10"
"6739";2013-08-02;7222012036;"35,00"
"6875";2013-08-02;4127111054;"45,78"
"8693";2013-08-02;7076429013;"53,02"
"9760";2013-08-02;2014029015;"78,20"
"10017";2013-08-02;2229745017;"45,37"
"10058";2013-08-02;2324411010;"34,92"
"14810";2013-08-02;3832625044;"58,40"
"15995";2013-08-02;1425630025;"40,00"
"21912";2013-08-02;1416444030;"67,33"
"22707";2013-08-02;78300017;"45,36"
"23911";2013-08-02;2246998011;"30,00"
"27610";2013-08-02;3755690017;"45,00"
"28150";2013-08-02;3775553021;"19,57"
"28840";2013-08-02;2205781010;"55,96"
"29534";2013-08-02;9619490017;"42,24"
"34136";2013-08-02;1265407021;"40,00"
"35548";2013-08-02;7055082015;"54,00"
"37667";2013-08-02;1075285011;"25,98"
"37793";2013-08-02;70157019;"42,43"
"38590";2013-08-02;3689614018;"50,00"
"38741";2013-08-02;2282040017;"55,00"
"38831";2013-08-02;55102014;"50,00"
"39996";2013-08-02;3681930032;"62,99"
"40321";2013-08-02;55102014;"76,00"
"4494";2013-08-03;7166279013;"43,98"
"5794";2013-08-03;1055503011;"58,00"
"8280";2013-08-03;3832625044;"40,00"
"23447";2013-08-03;7210718016;"20,00"
"28139";2013-08-03;12225023;"63,66"
"34250";2013-08-03;7203523019;"60,00"
"42325";2013-08-03;79211015;"63,69"
"43198";2013-08-03;7270026;"61,70"
"3237";2013-08-04;60809025;"40,00"
"7467";2013-08-04;1176877023;"44,00"
"8998";2013-08-04;1161524026;"40,00"
